roc_auc,pr_auc,macro_f1,balanced_accuracy,brier,nll,ece,calibration_slope,calibration_intercept,setting,seed,model,class_weight,calibration,scope,method,nominal_coverage,observed_coverage,coverage_gap,average_set_size,singleton_rate,ambiguity_rate,empty_set_rate,pass_coverage,fail_coverage,automatic_coverage,automatic_error_rate,deferral_rate,n_automatic,undercoverage,overcoverage,n_test,n_pass,n_fail,coverage_ci_lower,coverage_ci_upper,pass_ci_lower,pass_ci_upper,fail_ci_lower,fail_ci_upper,automatic_error_ci_lower,automatic_error_ci_upper,automatic_false_negative_fraction,automatic_false_positive_fraction
,,,,,,,,,course_1,42,logistic,balanced,platt,heldout,MCP,0.9,0.8590476190476191,0.04095238095238096,1.5942857142857143,0.4057142857142857,0.5942857142857143,0.0,0.8230088495575221,0.9010309278350516,0.4057142857142857,0.3474178403755869,0.5942857142857143,426.0,0.04095238095238096,0.0,1050.0,565.0,485.0,0.8366890973180601,0.8787885427851931,0.7893878355479161,0.852267223766339,0.8712207723993458,0.9245382471781737,0.303747842637736,0.3938150672856905,0.09896907216494845,0.17699115044247787
,,,,,,,,,course_1,42,logistic,balanced,platt,heldout,EQ,0.9,0.8504761904761905,0.049523809523809526,1.5723809523809524,0.4276190476190476,0.5723809523809524,0.0,0.8123893805309734,0.8948453608247423,0.4276190476190476,0.34966592427616927,0.5723809523809524,449.0,0.049523809523809526,0.0,1050.0,565.0,485.0,0.8276306328279929,0.870766639209135,0.7781283524185871,0.8424311980962953,0.8643734035267476,0.9191116980110159,0.30700193250417745,0.39488048711444185,0.10515463917525773,0.18761061946902655
,,,,,,,,,course_1,42,logistic,balanced,platt,heldout,EIQ-batch,0.9,0.9047619047619048,0.004761904761904745,1.681904761904762,0.3180952380952381,0.6819047619047619,0.0,0.9132743362831859,0.8948453608247423,0.3180952380952381,0.2994011976047904,0.6819047619047619,334.0,0.0,0.004761904761904745,1050.0,565.0,485.0,0.8855023335342952,0.9210706029216268,0.8871882500333655,0.9337786340755584,0.8643734035267476,0.9191116980110159,0.25279142842781743,0.3505728227574727,0.10515463917525773,0.08672566371681416
,,,,,,,,,course_1,42,logistic,balanced,platt,heldout,EIQ-independent,0.9,0.9047619047619048,0.004761904761904745,1.681904761904762,0.3180952380952381,0.6819047619047619,0.0,0.9132743362831859,0.8948453608247423,0.3180952380952381,0.2994011976047904,0.6819047619047619,334.0,0.0,0.004761904761904745,1050.0,565.0,485.0,0.8855023335342952,0.9210706029216268,0.8871882500333655,0.9337786340755584,0.8643734035267476,0.9191116980110159,0.25279142842781743,0.3505728227574727,0.10515463917525773,0.08672566371681416
0.640492486237167,0.6117059343126845,0.6114282189825115,0.6115560619971622,0.2424255121785337,0.829128836018747,0.062409861304498576,0.27114602345049116,-0.0395690407347236,course_1,42,logistic,balanced,isotonic,full,probability,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,course_1,42,logistic,balanced,isotonic,full,MCP,0.9,0.87,0.030000000000000027,1.6142857142857143,0.38571428571428573,0.6142857142857143,0.0,0.8292682926829268,0.9119922630560928,0.38571428571428573,0.337037037037037,0.6142857142857143,810.0,0.030000000000000027,0.0,2100.0,1066.0,1034.0,0.8549380021286372,0.8837108126309563,0.8055077990508723,0.8506641918661999,0.8931639069868252,0.9277707287986184,0.30532120660607387,0.3702912887532164,0.08800773694390715,0.17073170731707318
,,,,,,,,,course_1,42,logistic,balanced,isotonic,full,EQ,0.9,0.8638095238095238,0.03619047619047622,1.599047619047619,0.40095238095238095,0.599047619047619,0.0,0.8170731707317073,0.9119922630560928,0.40095238095238095,0.33966745843230406,0.599047619047619,842.0,0.03619047619047622,0.0,2100.0,1066.0,1034.0,0.8484739013420801,0.877816567739425,0.7927403561851823,0.839128968401628,0.8931639069868252,0.9277707287986184,0.30847106142133973,0.3723201823934944,0.08800773694390715,0.18292682926829268
,,,,,,,,,course_1,42,logistic,balanced,isotonic,full,EIQ-batch,0.9,0.9138095238095238,0.013809523809523827,1.7166666666666666,0.2833333333333333,0.7166666666666667,0.0,0.9155722326454033,0.9119922630560928,0.2833333333333333,0.3042016806722689,0.7166666666666667,595.0,0.0,0.013809523809523827,2100.0,1066.0,1034.0,0.9010379528351438,0.9250699236463065,0.8973532641958534,0.9308068269046111,0.8931639069868252,0.9277707287986184,0.26858822892808326,0.34232715348573656,0.08800773694390715,0.08442776735459662
0.6362959583979564,0.573828854520176,0.6068645127519121,0.6078095064318949,0.24230198598846836,0.717726148738288,0.062049908154467634,0.4459155250328018,-0.17707202016434248,course_1,42,logistic,balanced,isotonic,heldout,probability,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,course_1,42,logistic,balanced,isotonic,heldout,MCP,0.9,0.8742857142857143,0.02571428571428569,1.6342857142857143,0.3657142857142857,0.6342857142857142,0.0,0.8230088495575221,0.934020618556701,0.3657142857142857,0.34375,0.6342857142857142,384.0,0.02571428571428569,0.0,1050.0,565.0,485.0,0.8528588250186695,0.8929839138688067,0.7893878355479161,0.852267223766339,0.9083409547161231,0.9528789610734291,0.29800322134577645,0.3925920018547476,0.06597938144329897,0.17699115044247787
,,,,,,,,,course_1,42,logistic,balanced,isotonic,heldout,EQ,0.9,0.8685714285714285,0.03142857142857147,1.6228571428571428,0.37714285714285717,0.6228571428571429,0.0,0.8123893805309734,0.934020618556701,0.37714285714285717,0.3484848484848485,0.6228571428571429,396.0,0.03142857142857147,0.0,1050.0,565.0,485.0,0.8467847539157761,0.8876710729276164,0.7781283524185871,0.8424311980962953,0.9083409547161231,0.9528789610734291,0.30321338019077665,0.39666766677735915,0.06597938144329897,0.18761061946902655
,,,,,,,,,course_1,42,logistic,balanced,isotonic,heldout,EIQ-batch,0.9,0.9238095238095239,0.023809523809523836,1.7342857142857142,0.26571428571428574,0.7342857142857143,0.0,0.9150442477876106,0.934020618556701,0.26571428571428574,0.2867383512544803,0.7342857142857143,279.0,0.0,0.023809523809523836,1050.0,565.0,485.0,0.9061725597851702,0.9383567501510306,0.8891582383443543,0.9353245638977984,0.9083409547161231,0.9528789610734291,0.23685123296997046,0.342418367405555,0.06597938144329897,0.08495575221238938
,,,,,,,,,course_1,42,logistic,balanced,isotonic,heldout,EIQ-independent,0.9,0.9238095238095239,0.023809523809523836,1.7342857142857142,0.26571428571428574,0.7342857142857143,0.0,0.9150442477876106,0.934020618556701,0.26571428571428574,0.2867383512544803,0.7342857142857143,279.0,0.0,0.023809523809523836,1050.0,565.0,485.0,0.9061725597851702,0.9383567501510306,0.8891582383443543,0.9353245638977984,0.9083409547161231,0.9528789610734291,0.23685123296997046,0.342418367405555,0.06597938144329897,0.08495575221238938
0.6125558406305682,0.5812799206457275,0.5888342444607783,0.5902849096933165,0.251884739584929,0.7063946114162695,0.08580577777330019,0.42227421522844605,-0.07939631177923431,course_1,42,catboost,unweighted,none,full,probability,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,course_1,42,catboost,unweighted,none,full,MCP,0.9,0.8519047619047619,0.04809523809523808,1.6204761904761904,0.37952380952380954,0.6204761904761905,0.0,0.7560975609756098,0.9506769825918762,0.37952380952380954,0.39021329987452946,0.6204761904761905,797.0,0.04809523809523808,0.0,2100.0,1066.0,1034.0,0.8360708555480102,0.8664535641525556,0.7294288705393486,0.7809271223961523,0.9357294704611197,0.9622882297173232,0.35695152592253754,0.4245283187177459,0.04932301740812379,0.24390243902439024
