setting,model,method,metric,balanced,unweighted,delta,minimum,maximum
course_2,logistic,MCP,observed_coverage,0.933211009174312,0.9331192660550458,9.174311926607448e-05,0.0,0.0004587155963303724
course_2,logistic,MCP,pass_coverage,0.9729816147082333,0.9731414868105513,-0.0001598721023181149,-0.0007993605115905744,0.0
course_2,logistic,MCP,fail_coverage,0.8796555435952638,0.8792249730893434,0.00043057050592032464,0.0,0.0010764262648008671
course_2,logistic,MCP,automatic_coverage,0.2447706422018348,0.24550458715596327,-0.0007339449541284377,-0.0013761467889907841,0.0
course_2,logistic,MCP,automatic_error_rate,0.28761676775127026,0.2873903172240873,0.0002264505271829753,-0.001371473354231989,0.0011847527472526598
iid,catboost,EIQ-batch,observed_coverage,0.9565420560747665,0.9616822429906542,-0.005140186915887824,-0.029205607476635476,0.04439252336448596
iid,catboost,EIQ-batch,pass_coverage,0.9629310344827585,0.9625,0.00043103448275865207,-0.04525862068965514,0.04525862068965525
iid,catboost,EIQ-batch,fail_coverage,0.9489795918367347,0.9607142857142857,-0.01173469387755104,-0.05357142857142838,0.04336734693877553
iid,catboost,EIQ-batch,automatic_coverage,0.1911214953271028,0.17289719626168223,0.018224299065420557,-0.17990654205607481,0.1121495327102803
iid,catboost,EIQ-batch,automatic_error_rate,0.22242643813955829,0.2185834736688667,0.0038429644706916067,-0.031674050301740586,0.028850953379255306
iid,catboost,EQ,observed_coverage,0.9518691588785048,0.9616822429906542,-0.009813084112149494,-0.029205607476635476,0.0210280373831776
iid,catboost,EQ,pass_coverage,0.9629310344827585,0.9625,0.00043103448275865207,-0.04525862068965514,0.04525862068965525
iid,catboost,EQ,fail_coverage,0.9387755102040817,0.9607142857142857,-0.021938775510204112,-0.05357142857142838,0.020408163265306034
iid,catboost,EQ,automatic_coverage,0.20607476635514016,0.17289719626168223,0.03317757009345794,-0.10514018691588792,0.1121495327102803
iid,catboost,EQ,automatic_error_rate,0.231293171978451,0.2185834736688667,0.012709698309584305,-0.01929392446633829,0.028850953379255306
iid,catboost,MCP,observed_coverage,0.9565420560747665,0.9616822429906542,-0.005140186915887824,-0.029205607476635476,0.04439252336448596
iid,catboost,MCP,pass_coverage,0.9629310344827585,0.9625,0.00043103448275865207,-0.04525862068965514,0.04525862068965525
