setting,seed,model,class_weight,calibration,bins,ece
iid,42,catboost,unweighted,platt,15,0.04754807147488108
iid,42,logistic,balanced,isotonic,5,0.0410134330609614
iid,42,logistic,balanced,isotonic,10,0.07330119304911226
iid,42,logistic,balanced,isotonic,15,0.041489826590621844
iid,42,logistic,balanced,none,5,0.03996164367133111
iid,42,logistic,balanced,none,10,0.04222158844284325
iid,42,logistic,balanced,none,15,0.04743020845886553
iid,42,logistic,balanced,platt,5,0.007586520469607757
iid,42,logistic,balanced,platt,10,0.023728533676435334
iid,42,logistic,balanced,platt,15,0.04138924756862432
iid,42,logistic,unweighted,isotonic,5,0.031497615226537316
iid,42,logistic,unweighted,isotonic,10,0.07013942960743151
iid,42,logistic,unweighted,isotonic,15,0.044672345873659314
iid,42,logistic,unweighted,none,5,0.02018516582935832
iid,42,logistic,unweighted,none,10,0.029576898015828745
iid,42,logistic,unweighted,none,15,0.03715665404603833
iid,42,logistic,unweighted,platt,5,0.006321666984589468
iid,42,logistic,unweighted,platt,10,0.024861410337353496
iid,42,logistic,unweighted,platt,15,0.040996461449900566
iid,73,catboost,balanced,isotonic,5,0.030546157293013326
iid,73,catboost,balanced,isotonic,10,0.04362385745316541
iid,73,catboost,balanced,isotonic,15,0.04582018204098913
iid,73,catboost,balanced,none,5,0.030826776100375496
iid,73,catboost,balanced,none,10,0.05279538317290378
iid,73,catboost,balanced,none,15,0.053653538902012125
iid,73,catboost,balanced,platt,5,0.021498931389486543
iid,73,catboost,balanced,platt,10,0.02989843336968315
iid,73,catboost,balanced,platt,15,0.04312674725648942
iid,73,catboost,unweighted,isotonic,5,0.03740841613566129
iid,73,catboost,unweighted,isotonic,10,0.04452503814252584
iid,73,catboost,unweighted,isotonic,15,0.05334838466075742
iid,73,catboost,unweighted,none,5,0.018063189362804807
iid,73,catboost,unweighted,none,10,0.029605069530968895
iid,73,catboost,unweighted,none,15,0.04037035811460684
iid,73,catboost,unweighted,platt,5,0.030327681206811372
iid,73,catboost,unweighted,platt,10,0.03558940266911525
