policy,automatic_coverage,automatic_error_rate,automatic_false_negative_fraction,automatic_false_positive_fraction,expected_n_automatic,setting,model,seed,calibration,matched_method
random,0.2,0.4532110091743115,0.0740581270182992,0.1029576338928857,436.0,course_2,catboost,42,isotonic,fixed_budget
confidence,0.4,0.4357081422018348,0.1184068891280947,0.2157773780975219,872.0,course_2,catboost,42,isotonic,fixed_budget
random,0.4,0.4532110091743115,0.1481162540365985,0.2059152677857714,871.9999999999999,course_2,catboost,42,isotonic,fixed_budget
confidence,0.6,0.465778360273773,0.1184068891280947,0.3990712192151041,1308.0,course_2,catboost,42,isotonic,fixed_budget
random,0.6,0.4532110091743124,0.2221743810548976,0.3088729016786572,1308.0,course_2,catboost,42,isotonic,fixed_budget
confidence,0.8,0.4478128802078196,0.2454097557399755,0.4420463629096722,1744.0,course_2,catboost,42,isotonic,fixed_budget
random,0.8,0.4532110091743115,0.296232508073197,0.4118305355715428,1743.9999999999998,course_2,catboost,42,isotonic,fixed_budget
confidence,0.1605504587155963,0.3371428571428571,0.1173304628632938,0.0071942446043165,350.0,course_2,catboost,42,isotonic,split_cp
random,0.1605504587155963,0.4532110091743113,0.0594503313220292,0.082649476748876,350.0,course_2,catboost,42,isotonic,split_cp
singleton,0.1605504587155963,0.3371428571428571,0.1173304628632938,0.0071942446043165,350.0,course_2,catboost,42,isotonic,split_cp
confidence,0.1128440366972477,0.3501541911970844,0.0830332949779147,0.0071942446043165,246.0,course_2,catboost,42,isotonic,mondrian_cp
random,0.1128440366972477,0.4532110091743122,0.0417850900149119,0.0580907750863529,246.00000000000003,course_2,catboost,42,isotonic,mondrian_cp
singleton,0.1128440366972477,0.4878048780487805,0.0086114101184068,0.0895283772981614,246.0,course_2,catboost,42,isotonic,mondrian_cp
confidence,0.1128440366972477,0.3501541911970844,0.0830332949779147,0.0071942446043165,246.0,course_2,catboost,42,isotonic,empirical_mondrian
random,0.1128440366972477,0.4532110091743122,0.0417850900149119,0.0580907750863529,246.00000000000003,course_2,catboost,42,isotonic,empirical_mondrian
singleton,0.1128440366972477,0.4878048780487805,0.0086114101184068,0.0895283772981614,246.0,course_2,catboost,42,isotonic,empirical_mondrian
confidence,0.1128440366972477,0.3501541911970844,0.0830332949779147,0.0071942446043165,246.0,course_2,catboost,42,isotonic,weighted_cap5
random,0.1128440366972477,0.4532110091743122,0.0417850900149119,0.0580907750863529,246.00000000000003,course_2,catboost,42,isotonic,weighted_cap5
singleton,0.1128440366972477,0.4878048780487805,0.0086114101184068,0.0895283772981614,246.0,course_2,catboost,42,isotonic,weighted_cap5
confidence,0.1128440366972477,0.3501541911970844,0.0830332949779147,0.0071942446043165,246.0,course_2,catboost,42,isotonic,weighted_cap10
random,0.1128440366972477,0.4532110091743122,0.0417850900149119,0.0580907750863529,246.00000000000003,course_2,catboost,42,isotonic,weighted_cap10
singleton,0.1128440366972477,0.4878048780487805,0.0086114101184068,0.0895283772981614,246.0,course_2,catboost,42,isotonic,weighted_cap10
confidence,0.2522935779816513,0.4045254010695187,0.1184068891280947,0.089919241077726,550.0000000000001,course_2,catboost,42,isotonic,weighted_cap20
random,0.2522935779816513,0.4532110091743124,0.0934219492203316,0.1298777491768054,549.9999999999999,course_2,catboost,42,isotonic,weighted_cap20
singleton,0.2522935779816513,0.4036363636363636,0.1184068891280947,0.0895283772981614,550.0,course_2,catboost,42,isotonic,weighted_cap20
confidence,0.2522935779816513,0.4045254010695187,0.1184068891280947,0.089919241077726,550.0000000000001,course_2,catboost,42,isotonic,weighted_p99
random,0.2522935779816513,0.4532110091743124,0.0934219492203316,0.1298777491768054,549.9999999999999,course_2,catboost,42,isotonic,weighted_p99
singleton,0.2522935779816513,0.4036363636363636,0.1184068891280947,0.0895283772981614,550.0,course_2,catboost,42,isotonic,weighted_p99
confidence,0.2,0.2114485981308412,0.0382653061224489,0.0456896551724138,171.20000000000002,iid,logistic,42,none,fixed_budget
