setting,model,calibration,method,course,seed,nominal_coverage,observed_coverage,coverage_gap,average_set_size,singleton_rate,ambiguity_rate,empty_set_rate,pass_coverage,fail_coverage,automatic_coverage,automatic_error_rate,deferral_rate,n_automatic,undercoverage,overcoverage,n_test,n_pass,n_fail,coverage_ci_lower,coverage_ci_upper,pass_ci_lower,pass_ci_upper,fail_ci_lower,fail_ci_upper,automatic_error_ci_lower,automatic_error_ci_upper,automatic_false_negative_fraction,automatic_false_positive_fraction,review_fraction
temporal_2,catboost,isotonic,EIQ-batch,Accountancy,19,0.9,0.9986168741355463,0.09861687413554632,1.991701244813278,0.008298755186721992,0.991701244813278,0.0,0.9978118161925602,1.0,0.008298755186721992,0.16666666666666666,0.991701244813278,6,0.0,0.09861687413554632,723,457,266,0.9922074257790947,0.999755802584114,0.9877107361507956,0.9996136273393242,0.9857640155168048,1.0,0.030053369748306635,0.5635028221864702,0.0,0.002188183807439825,0.991701244813278
temporal_2,catboost,isotonic,EIQ-batch,Accountancy,42,0.9,0.7676348547717843,0.13236514522821574,1.3001383125864454,0.6998616874135546,0.30013831258644535,0.0,0.9956236323851203,0.37593984962406013,0.6998616874135546,0.33201581027667987,0.30013831258644535,506,0.13236514522821574,0.0,723,457,266,0.7354840765106943,0.7969566577147729,0.9841854555926877,0.9987990205853874,0.3198871961031131,0.43552473989647666,0.292383601006849,0.37417941175161884,0.6240601503759399,0.00437636761487965,0.3001383125864454
temporal_2,catboost,isotonic,EIQ-batch,Accountancy,73,0.9,0.8049792531120332,0.0950207468879668,1.3195020746887967,0.6804979253112033,0.31950207468879666,0.0,0.9956236323851203,0.4774436090225564,0.6804979253112033,0.2865853658536585,0.31950207468879666,492,0.0950207468879668,0.0,723,457,266,0.774517788290623,0.8322170018732814,0.9841854555926877,0.9987990205853874,0.4181672710356362,0.5373621718733801,0.2484052038602746,0.3280723248654141,0.5225563909774437,0.00437636761487965,0.31950207468879666
temporal_2,catboost,isotonic,EIQ-batch,Accountancy,101,0.9,0.7925311203319502,0.10746887966804985,1.313969571230982,0.686030428769018,0.313969571230982,0.0,0.9934354485776805,0.4473684210526316,0.686030428769018,0.3024193548387097,0.313969571230982,496,0.10746887966804985,0.0,723,457,266,0.7614655278182048,0.8205045770328872,0.9808795889404179,0.9977649999256127,0.38878706183305556,0.5074483049546492,0.2636436305730933,0.3442320337176709,0.5526315789473685,0.006564551422319475,0.313969571230982
temporal_2,catboost,isotonic,EIQ-batch,Global economics,7,0.9,0.8461538461538461,0.05384615384615388,1.569526627218935,0.43047337278106507,0.5695266272189349,0.0,0.9704918032786886,0.7439353099730458,0.43047337278106507,0.35738831615120276,0.5695266272189349,291,0.05384615384615388,0.0,676,305,371,0.8170060484590268,0.8713897443068764,0.9448799285390199,0.984399453497008,0.6971805703863008,0.7856902427021244,0.30451345891991316,0.4139793190904008,0.2560646900269542,0.029508196721311476,0.569526627218935
temporal_2,catboost,isotonic,EIQ-batch,Global economics,19,0.9,0.9911242603550295,0.09112426035502952,1.9541420118343196,0.04585798816568047,0.9541420118343196,0.0,0.980327868852459,1.0,0.04585798816568047,0.1935483870967742,0.9541420118343196,31,0.0,0.09112426035502952,676,305,371,0.9807723029975685,0.995926001268585,0.9577531652219773,0.9909536603409363,0.989751777103899,1.0,0.09187008361586096,0.36280257811795463,0.0,0.019672131147540985,0.9541420118343196
temporal_2,catboost,isotonic,EIQ-batch,Global economics,42,0.9,0.8890532544378699,0.010946745562130156,1.668639053254438,0.33136094674556216,0.6686390532544378,0.0,0.9770491803278688,0.816711590296496,0.33136094674556216,0.33482142857142855,0.6686390532544378,224,0.010946745562130156,0.0,676,305,371,0.8631444293553591,0.9105653719157204,0.9533919155302109,0.9888390955237407,0.7741640797725343,0.8527676388781834,0.2762647187222824,0.3989480349924124,0.18328840970350405,0.022950819672131147,0.6686390532544378
temporal_2,catboost,isotonic,EIQ-batch,Global economics,73,0.9,0.9260355029585798,0.026035502958579815,1.7485207100591715,0.2514792899408284,0.7485207100591716,0.0,0.9540983606557377,0.9029649595687331,0.2514792899408284,0.29411764705882354,0.7485207100591716,170,0.0,0.026035502958579815,676,305,371,0.9038084774564628,0.9434478828708028,0.92443697021301,0.9724633392782087,0.8685863885204783,0.9290841811670307,0.23078185310002833,0.366552404936771,0.09703504043126684,0.04590163934426229,0.7485207100591715
temporal_2,catboost,isotonic,EIQ-batch,Global economics,101,0.9,0.8727810650887574,0.02721893491124261,1.5976331360946745,0.40236686390532544,0.5976331360946746,0.0,0.9311475409836065,0.8247978436657682,0.40236686390532544,0.3161764705882353,0.5976331360946746,272,0.02721893491124261,0.0,676,305,371,0.8455382591075187,0.8958110561788388,0.8970411104763275,0.9545284974521578,0.7828426591493304,0.8600958267860866,0.26380422760608335,0.3736686873519135,0.1752021563342318,0.06885245901639345,0.5976331360946745
temporal_2,catboost,isotonic,EQ,Accountancy,7,0.9,0.7275242047026279,0.17247579529737211,1.1507607192254494,0.8492392807745505,0.1507607192254495,0.0,0.9978118161925602,0.2631578947368421,0.8492392807745505,0.32084690553745926,0.1507607192254495,614,0.17247579529737211,0.0,723,457,266,0.6939313732258034,0.758712041658379,0.9877107361507956,0.9996136273393242,0.2138816082258192,0.31917754231885215,0.28513593800027937,0.35878565894155534,0.7368421052631579,0.002188183807439825,0.15076071922544954
temporal_2,catboost,isotonic,EQ,Accountancy,19,0.9,0.7648686030428768,0.13513139695712317,1.2226832641770402,0.7773167358229599,0.22268326417704012,0.0,0.9978118161925602,0.36466165413533835,0.7773167358229599,0.302491103202847,0.22268326417704012,562,0.13513139695712317,0.0,723,457,266,0.7326067259302385,0.7943307448923813,0.9877107361507956,0.9996136273393242,0.3091256865713012,0.4240509708827968,0.265961195003994,0.3417027600856805,0.6353383458646616,0.002188183807439825,0.2226832641770401
