setting,course,model,method,metric,estimate,lower,upper,n_test,n_fail,n_automatic_mean,n_automatic_min,n_automatic_max,finite_replicates
temporal_1,pooled,catboost,MCP,review_fraction,0.8753246753246753,0.8647871572871573,0.8860064935064935,1386,575,172.8,39,279,2000
temporal_1,pooled,catboost,MCP,singleton_error,0.3378121546543994,0.27710544774342755,0.3978638960310158,1386,575,172.8,39,279,2000
temporal_1,pooled,catboost,MCP,missed_failure,0.043130434782608695,0.03406992984931656,0.05293183268758821,1386,575,172.8,39,279,2000
temporal_1,pooled,logistic,EIQ-batch,coverage,0.9082251082251083,0.8962445887445888,0.9202020202020202,1386,575,419.2,176,655,2000
temporal_1,pooled,logistic,EIQ-batch,fail_coverage,0.8772173913043478,0.8572413128451553,0.896776280484169,1386,575,419.2,176,655,2000
temporal_1,pooled,logistic,EIQ-batch,automatic_coverage,0.3024531024531025,0.2855699855699856,0.3194805194805195,1386,575,419.2,176,655,2000
temporal_1,pooled,logistic,EIQ-batch,review_fraction,0.6975468975468975,0.6805194805194805,0.7144300144300144,1386,575,419.2,176,655,2000
temporal_1,pooled,logistic,EIQ-batch,singleton_error,0.31464399039364305,0.27615287054323384,0.3532286109174519,1386,575,419.2,176,655,2000
temporal_1,pooled,logistic,EIQ-batch,missed_failure,0.12278260869565216,0.1032237195158309,0.14275868715484474,1386,575,419.2,176,655,2000
temporal_1,pooled,logistic,EQ,coverage,0.9023088023088023,0.8877344877344877,0.9161616161616163,1386,575,492.0,405,606,2000
temporal_1,pooled,logistic,EQ,fail_coverage,0.8045217391304348,0.7748576739346956,0.8339829117130003,1386,575,492.0,405,606,2000
temporal_1,pooled,logistic,EQ,automatic_coverage,0.354978354978355,0.33275252525252524,0.376911976911977,1386,575,492.0,405,606,2000
temporal_1,pooled,logistic,EQ,review_fraction,0.645021645021645,0.623088023088023,0.6672474747474747,1386,575,492.0,405,606,2000
temporal_1,pooled,logistic,EQ,singleton_error,0.27234213140677016,0.23698442728163582,0.3094949127095309,1386,575,492.0,405,606,2000
temporal_1,pooled,logistic,EQ,missed_failure,0.19547826086956524,0.1660170882869998,0.22514232606530438,1386,575,492.0,405,606,2000
temporal_1,pooled,logistic,MCP,coverage,0.9092352092352093,0.8953787878787878,0.9227994227994227,1386,575,464.2,333,606,2000
temporal_1,pooled,logistic,MCP,fail_coverage,0.8128695652173913,0.7842243503584229,0.8412501573347018,1386,575,464.2,333,606,2000
temporal_1,pooled,logistic,MCP,automatic_coverage,0.3349206349206349,0.3134163059163059,0.3568578643578644,1386,575,464.2,333,606,2000
temporal_1,pooled,logistic,MCP,review_fraction,0.6650793650793652,0.6431421356421356,0.6865836940836941,1386,575,464.2,333,606,2000
temporal_1,pooled,logistic,MCP,singleton_error,0.26785618344841683,0.23123185311009628,0.30590290067174236,1386,575,464.2,333,606,2000
temporal_1,pooled,logistic,MCP,missed_failure,0.18713043478260868,0.15874984266529824,0.215775649641577,1386,575,464.2,333,606,2000
temporal_1,Accountancy,catboost,EIQ-batch,coverage,0.933049645390071,0.921418439716312,0.9443971631205674,705,314,132.8,71,178,2000
temporal_1,Accountancy,catboost,EIQ-batch,fail_coverage,0.9541401273885352,0.9414132706374087,0.9657534246575341,705,314,132.8,71,178,2000
temporal_1,Accountancy,catboost,EIQ-batch,automatic_coverage,0.18836879432624112,0.17106382978723406,0.2051063829787234,705,314,132.8,71,178,2000
temporal_1,Accountancy,catboost,EIQ-batch,review_fraction,0.8116312056737589,0.7948936170212766,0.828936170212766,705,314,132.8,71,178,2000
temporal_1,Accountancy,catboost,EIQ-batch,singleton_error,0.3468676654564453,0.2877997160130746,0.40439235136141294,705,314,132.8,71,178,2000
temporal_1,Accountancy,catboost,EIQ-batch,missed_failure,0.04585987261146497,0.03424657534246576,0.058586729362591426,705,314,132.8,71,178,2000
temporal_1,Accountancy,catboost,EQ,coverage,0.9622695035460993,0.9534751773049646,0.9707801418439717,705,314,86.6,15,133,2000
temporal_1,Accountancy,catboost,EQ,fail_coverage,0.959872611464968,0.9477404400769065,0.9707644971307761,705,314,86.6,15,133,2000
temporal_1,Accountancy,catboost,EQ,automatic_coverage,0.12283687943262411,0.10865248226950355,0.13645390070921987,705,314,86.6,15,133,2000
temporal_1,Accountancy,catboost,EQ,review_fraction,0.8771631205673759,0.8635460992907802,0.8913475177304965,705,314,86.6,15,133,2000
temporal_1,Accountancy,catboost,EQ,singleton_error,0.3139181224736921,0.23131765840071117,0.39752084879419686,705,314,86.6,15,133,2000
temporal_1,Accountancy,catboost,EQ,missed_failure,0.040127388535031845,0.029235502869223797,0.05225955992309335,705,314,86.6,15,133,2000
temporal_1,Accountancy,catboost,MCP,coverage,0.971063829787234,0.963404255319149,0.9784468085106384,705,314,67.6,15,133,2000
temporal_1,Accountancy,catboost,MCP,fail_coverage,0.9796178343949046,0.971598303911388,0.987382591346857,705,314,67.6,15,133,2000
temporal_1,Accountancy,catboost,MCP,automatic_coverage,0.09588652482269504,0.08368085106382979,0.10865248226950355,705,314,67.6,15,133,2000
temporal_1,Accountancy,catboost,MCP,review_fraction,0.904113475177305,0.8913475177304965,0.9163191489361702,705,314,67.6,15,133,2000
temporal_1,Accountancy,catboost,MCP,singleton_error,0.32419686811829135,0.22930501507029144,0.42120866053690686,705,314,67.6,15,133,2000
temporal_1,Accountancy,catboost,MCP,missed_failure,0.020382165605095544,0.012617408653143083,0.028401696088611945,705,314,67.6,15,133,2000
temporal_1,Accountancy,logistic,EIQ-batch,coverage,0.9293617021276596,0.9163049645390072,0.9427021276595744,705,314,172.0,85,277,2000
temporal_1,Accountancy,logistic,EIQ-batch,fail_coverage,0.9222929936305733,0.9026811439319455,0.9415649350649351,705,314,172.0,85,277,2000
temporal_1,Accountancy,logistic,EIQ-batch,automatic_coverage,0.24397163120567375,0.22297872340425534,0.26581560283687944,705,314,172.0,85,277,2000
