setting,model,method,seed,n,n_fail,correct,wrong,deferred,detected,missed,fail_deferred
iid,logistic,EQ,42,856,392,0.1366822429906542,0.053738317757009345,0.8095794392523364,0.25255102040816324,0.00510204081632653,0.7423469387755102
iid,logistic,EQ,73,856,392,0.17523364485981308,0.05023364485981308,0.7745327102803738,0.1989795918367347,0.04336734693877551,0.7576530612244898
iid,logistic,EQ,101,856,392,0.0630841121495327,0.01985981308411215,0.9170560747663551,0.03826530612244898,0.03316326530612245,0.9285714285714286
iid,logistic,MCP,7,856,392,0.19742990654205608,0.07710280373831775,0.7254672897196262,0.2602040816326531,0.04846938775510204,0.6913265306122449
iid,logistic,MCP,19,856,392,0.09579439252336448,0.030373831775700934,0.8738317757009346,0.10714285714285714,0.02806122448979592,0.8647959183673469
iid,logistic,MCP,42,856,392,0.13434579439252337,0.053738317757009345,0.8119158878504673,0.24744897959183673,0.00510204081632653,0.7474489795918368
iid,logistic,MCP,73,856,392,0.17523364485981308,0.05023364485981308,0.7745327102803738,0.1989795918367347,0.04336734693877551,0.7576530612244898
iid,logistic,MCP,101,856,392,0.0630841121495327,0.01985981308411215,0.9170560747663551,0.03826530612244898,0.03316326530612245,0.9285714285714286
temporal_1,catboost,EIQ-batch,7,1386,575,0.11616161616161616,0.06565656565656566,0.8181818181818182,0.09739130434782609,0.0782608695652174,0.8243478260869566
temporal_1,catboost,EIQ-batch,19,1386,575,0.19624819624819625,0.09740259740259741,0.7063492063492064,0.05217391304347826,0.19304347826086957,0.7547826086956522
temporal_1,catboost,EIQ-batch,42,1386,575,0.10533910533910534,0.11327561327561328,0.7813852813852814,0.24347826086956523,0.0034782608695652175,0.7530434782608696
temporal_1,catboost,EIQ-batch,73,1386,575,0.17316017316017315,0.08008658008658008,0.7467532467532467,0.13217391304347825,0.09565217391304348,0.7721739130434783
temporal_1,catboost,EIQ-batch,101,1386,575,0.10822510822510822,0.049783549783549784,0.841991341991342,0.14956521739130435,0.03304347826086956,0.8173913043478261
temporal_1,catboost,EQ,7,1386,575,0.11616161616161616,0.06565656565656566,0.8181818181818182,0.09739130434782609,0.0782608695652174,0.8243478260869566
temporal_1,catboost,EQ,19,1386,575,0.1774891774891775,0.08080808080808081,0.7417027417027418,0.05217391304347826,0.15304347826086956,0.7947826086956522
temporal_1,catboost,EQ,42,1386,575,0.018037518037518036,0.010101010101010102,0.9718614718614719,0.03304347826086956,0.0034782608695652175,0.9634782608695652
